1959	0.03	0.02
1960	-0.02	0.03
1961	0.06	0.02
1962	0.04	0
1963	0.07	-0.02
1964	-0.2	-0.03
1965	-0.1	-0.04
1966	-0.05	-0.05
1967	-0.02	-0.04
1968	-0.07	-0.03
1969	0.07	-0.01
1970	0.03	0
1971	-0.09	0
1972	0.01	0
1973	0.16	-0.01
1974	-0.08	0
1975	-0.02	0.01
1976	-0.11	0.03
1977	0.17	0.07
1978	0.06	0.12
1979	0.16	0.16
1980	0.27	0.19
1981	0.33	0.21
1982	0.13	0.22
1983	0.31	0.21
1984	0.16	0.21
1985	0.12	0.23
1986	0.18	0.25
1987	0.33	0.28
1988	0.41	0.31
1989	0.28	0.34
1990	0.44	0.34
1991	0.41	0.33
1992	0.22	0.33
1993	0.24	0.33
1994	0.31	0.34
1995	0.44	0.37
1996	0.33	0.4
1997	0.47	0.43
1998	0.62	0.45
1999	0.4	0.48
2000	0.4	0.5
2001	0.54	0.52
2002	0.62	0.55
2003	0.61	0.58
2004	0.53	0.6
2005	0.67	0.61
2006	0.62	0.61
2007	0.64	0.61
2008	0.52	0.62
2009	0.63	0.62
2010	0.7	0.62
2011	0.57	0.63
2012	0.61	0.67
2013	0.64	0.71
2014	0.73	0.77
2015	0.86	0.83
2016	0.99	0.89
2017	0.9	0.95
